Data.Rio,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Tabela 2675 - Chegada mensal de turistas pelo  Rio de Janeiro, segundo continentes e países de residência permanente - Via aérea  - 2017 (1)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Continentes e países de residência permanente (3) ,Número de turistas,,,,,,,,,,,,
,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
,,,,,,,,,,,,,
Total,1 325 186, 138 955, 142 448, 120 486, 107 812, 83 318, 68 215, 100 652, 92 966, 95 222, 108 147, 119 986, 146 979
África, 17 557, 1 844, 1 890, 1 599, 1 432, 1 095,  904, 1 335, 1 220, 1 262, 1 434, 1 593, 1 949
África do Sul, 2 650,  278,  285,  241,  216,  167,  136,  201,  186,  190,  216,  240,  294
Angola, 7 088,  743,  762,  645,  577,  446,  365,  538,  497,  509,  578,  642,  786
Cabo Verde,  371,  39,  40,  34,  30,  23,  19,  28,  26,  27,  30,  34,  41
Egito,  514,  54,  55,  47,  42,  32,  26,  39,  36,  37,  42,  47,  57
Gana,  147,  18,  18,  15,  14,-,  9,  13,-,  12,  14,  15,  19
Marrocos, 3 312,  347,  356,  301,  270,  208,  171,  252,  232,  238,  270,  300,  367
Moçambique,  417,  44,  45,  38,  34,  26,  21,  32,  29,  30,  34,  38,  46
Nigéria,  176,  19,  19,  16,  14,  11,  9,  13,  12,  13,  14,  16,  20
Quênia,  328,  34,  35,  30,  27,  21,  17,  25,  23,  23,  27,  30,  36
Tunísia,  660,  69,  71,  60,  54,  42,  34,  50,  46,  47,  54,  60,  73
Outros países da África, 1 894,  199,  204,  172,  154,  119,  97,  144,  133,  136,  155,  171,  210
América Central e Caribe, 11 904, 1 247, 1 279, 1 082,  970,  748,  613,  906,  835,  855,  972, 1 077, 1 320
Costa Rica, 2 878,  302,  309,  262,  234,  181,  148,  219,  202,  207,  235,  260,  319
Cuba,  772,  81,  83,  70,  63,  48,  40,  59,  54,  55,  63,  70,  86
El Salvador,  811,  85,  87,  74,  66,  51,  42,  62,  57,  58,  66,  73,  90
Guatemala, 1 434,  150,  154,  130,  117,  90,  74,  109,  101,  103,  117,  130,  159
Haiti,  241,  25,  26,  22,  20,  15,  12,  18,  17,  17,  20,  22,  27
Honduras,  588,  62,  63,  54,  48,  37,  30,  45,  41,  42,  48,  53,  65
Nicarágua,  233,  24,  25,  21,  19,  15,  12,  18,  16,  17,  19,  21,  26
Panamá, 3 663,  384,  394,  333,  298,  230,  189,  278,  257,  263,  299,  332,  406
República Dominicana,  608,  64,  65,  55,  50,  38,  31,  46,  43,  44,  50,  55,  67
Trinidad e Tobago,  233,  24,  25,  21,  19,  15,  12,  18,  16,  17,  19,  21,  26
Outros países da América Central e Caribe,  443,  46,  48,  40,  36,  28,  23,  34,  31,  32,  36,  40,  49
América do Norte, 154 249, 16 174, 16 581, 14 025, 12 548, 9 699, 7 939, 11 715, 10 823, 11 083, 12 588, 13 966, 17 108
Canadá, 8 138,  853,  875,  740,  662,  512,  419,  618,  571,  585,  664,  737,  902
Estados Unidos, 132 913, 13 937, 14 287, 12 085, 10 812, 8 357, 6 841, 10 095, 9 326, 9 550, 10 847, 12 034, 14 742
México, 13 198, 1 384, 1 419, 1 200, 1 074,  830,  679, 1 002,  926,  948, 1 077, 1 195, 1 464
América do Sul, 667 204, 69 962, 71 719, 60 660, 54 277, 41 953, 34 343, 50 676, 46 811, 47 942, 54 449, 60 410, 74 002
Argentina, 436 088, 45 727, 46 875, 39 652, 35 476, 27 420, 22 446, 33 121, 30 598, 31 335, 35 587, 39 484, 48 367
Bolívia,  927,  97,  100,  84,  75,  58,  48,  70,  65,  67,  76,  84,  103
Chile, 126 112, 13 224, 13 556, 11 467, 10 259, 7 930, 6 491, 9 578, 8 849, 9 062, 10 291, 11 418, 13 987
Colômbia, 33 664, 3 530, 3 618, 3 061, 2 738, 2 117, 1 733, 2 557, 2 362, 2 419, 2 747, 3 048, 3 734
Equador, 6 483,  680,  697,  589,  527,  408,  334,  492,  455,  466,  529,  587,  719
Guiana,  89,  9,  10,  8,  7,  6,  5,  7,  6,  6,  7,  8,  10
Guiana Francesa,  1,-,-,-,-,-,-,  1,-,-,-,-,-
Paraguai, 3 931,  412,  423,  357,  320,  247,  202,  299,  276,  282,  321,  356,  436
Peru, 15 155, 1 589, 1 629, 1 378, 1 233,  953,  780, 1 151, 1 063, 1 089, 1 237, 1 372, 1 681
Suriname,  56,  7,  7,-,  6,  4,  3,  5,-,  5,  6,  6,  7
Uruguai, 40 157, 4 211, 4 316, 3 651, 3 267, 2 525, 2 067, 3 050, 2 818, 2 885, 3 277, 3 636, 4 454
Venezuela, 4 541,  476,  488,  413,  369,  285,  234,  345,  319,  326,  371,  411,  504
Ásia, 46 637, 4 890, 5 010, 4 240, 3 796, 2 932, 2 403, 3 543, 3 272, 3 352, 3 807, 4 222, 5 170
Arábia Saudita,  270,  28,  29,  25,  22,  17,  14,  21,  19,  19,  22,  24,  30
Bangladesh,  119,  12,  13,  11,  10,  7,  6,  9,  8,  9,  10,  11,  13
China, 11 417, 1 197, 1 227, 1 038,  929,  718,  588,  867,  801,  820,  932, 1 034, 1 266
"China, Hong Kong",  831,  87,  89,  76,  68,  52,  43,  63,  58,  60,  68,  75,  92
Cingapura, 1 523,  160,  164,  138,  124,  96,  78,  116,  107,  109,  124,  138,  169
Filipinas, 1 713,  180,  184,  156,  139,  108,  88,  130,  120,  123,  140,  155,  190
Índia, 3 688,  387,  396,  335,  300,  232,  190,  280,  259,  265,  301,  334,  409
Indonésia,  496,  52,  53,  45,  40,  31,  26,  38,  35,  36,  40,  45,  55
Irã,  847,  89,  91,  77,  69,  53,  44,  64,  59,  61,  69,  77,  94
Israel, 7 520,  788,  808,  684,  612,  473,  387,  571,  528,  540,  614,  681,  834
Japão, 8 542,  896,  918,  777,  695,  537,  440,  649,  599,  614,  697,  773,  947
Líbano,  525,  55,  56,  48,  43,  33,  27,  40,  37,  38,  43,  47,  58
Malásia, 1 511,  158,  162,  137,  123,  95,  78,  115,  106,  109,  123,  137,  168
Paquistão,  302,  32,  32,  27,  25,  19,  16,  23,  21,  22,  25,  27,  33
República da Coreia, 3 556,  373,  382,  323,  289,  224,  183,  270,  250,  256,  290,  322,  394
Síria,  195,  20,  21,  18,  16,  12,  10,  15,  14,  14,  16,  18,  21
Tailândia,  685,  72,  74,  62,  56,  43,  35,  52,  48,  49,  56,  62,  76
Taiwan,  905,  95,  97,  82,  74,  57,  47,  69,  63,  65,  74,  82,  100
Outros países da Ásia, 1 992,  209,  214,  181,  162,  125,  103,  151,  140,  143,  163,  180,  221
Europa, 413 886, 43 398, 44 490, 37 629, 33 671, 26 026, 21 305, 31 433, 29 040, 29 740, 33 774, 37 475, 45 905
Alemanha, 50 782, 5 325, 5 459, 4 617, 4 131, 3 193, 2 614, 3 857, 3 563, 3 649, 4 144, 4 598, 5 632
Áustria, 6 851,  718,  737,  623,  557,  431,  353,  520,  481,  492,  559,  620,  760
Bélgica, 6 930,  727,  745,  630,  564,  436,  357,  526,  486,  498,  565,  627,  769
Bulgária,  844,  88,  91,  77,  69,  53,  43,  64,  59,  61,  69,  76,  94
Croácia, 1 069,  112,  115,  97,  87,  67,  55,  81,  75,  77,  87,  97,  119
Dinamarca, 6 085,  638,  654,  553,  495,  383,  313,  462,  427,  437,  497,  551,  675
Eslováquia,  751,  79,  81,  68,  61,  47,  39,  57,  53,  54,  61,  68,  83
Eslovênia,  584,  61,  63,  53,  47,  37,  30,  44,  41,  42,  48,  53,  65
Espanha, 28 182, 2 955, 3 029, 2 562, 2 293, 1 772, 1 451, 2 140, 1 977, 2 025, 2 300, 2 552, 3 126
Estônia,  332,  35,  36,  30,  27,  21,  17,  25,  23,  24,  27,  30,  37
Finlândia, 2 187,  229,  235,  199,  178,  138,  113,  166,  153,  157,  178,  198,  243
França, 78 398, 8 221, 8 427, 7 128, 6 378, 4 930, 4 035, 5 954, 5 501, 5 633, 6 398, 7 098, 8 695
Grécia, 1 654,  173,  178,  150,  135,  104,  85,  126,  116,  119,  135,  150,  183
Holanda, 16 960, 1 778, 1 823, 1 542, 1 380, 1 066,  873, 1 288, 1 190, 1 219, 1 384, 1 536, 1 881
Hungria, 1 079,  113,  116,  98,  88,  68,  55,  82,  76,  77,  88,  98,  120
Irlanda, 3 908,  410,  420,  355,  318,  246,  201,  297,  274,  281,  319,  354,  433
Itália, 37 022, 3 882, 3 979, 3 366, 3 012, 2 328, 1 906, 2 812, 2 598, 2 660, 3 021, 3 352, 4 106
Letônia,  383,  40,  41,  35,  31,  24,  20,  29,  27,  28,  31,  35,  42
Lituânia,  588,  62,  63,  54,  48,  37,  30,  45,  41,  42,  48,  53,  65
Luxemburgo,  723,  76,  78,  66,  59,  45,  37,  55,  51,  52,  59,  65,  80
Noruega, 8 160,  856,  877,  742,  664,  513,  420,  620,  572,  586,  666,  739,  905
Polônia, 9 771, 1 025, 1 050,  888,  795,  614,  503,  742,  686,  702,  797,  885, 1 084
Portugal, 41 463, 4 348, 4 457, 3 770, 3 373, 2 607, 2 134, 3 149, 2 909, 2 979, 3 384, 3 754, 4 599
Reino Unido, 68 515, 7 184, 7 365, 6 230, 5 574, 4 308, 3 527, 5 204, 4 807, 4 923, 5 591, 6 203, 7 599
República Tcheca, 1 554,  163,  167,  141,  126,  98,  80,  118,  109,  112,  127,  141,  172
Romênia, 1 984,  208,  213,  180,  161,  125,  102,  151,  139,  143,  162,  180,  220
Rússia, 7 252,  760,  780,  659,  590,  456,  373,  551,  509,  521,  592,  657,  804
Sérvia,  676,  71,  73,  61,  55,  43,  35,  51,  47,  49,  55,  61,  75
Suécia, 7 822,  820,  841,  711,  636,  492,  403,  594,  549,  562,  638,  708,  868
Suíça, 15 685, 1 645, 1 686, 1 426, 1 276,  986,  807, 1 191, 1 101, 1 127, 1 280, 1 420, 1 740
Turquia, 2 635,  276,  283,  240,  214,  166,  136,  200,  185,  189,  215,  239,  292
Ucrânia, 1 623,  170,  174,  148,  132,  102,  84,  123,  114,  117,  132,  147,  180
Outros países da Europa, 1 434,  150,  154,  130,  117,  90,  74,  109,  101,  103,  117,  130,  159
Oceania, 13 749, 1 440, 1 479, 1 251, 1 118,  865,  708, 1 044,  965,  988, 1 123, 1 243, 1 525
Austrália, 11 292, 1 184, 1 214, 1 027,  919,  710,  581,  858,  792,  811,  922, 1 022, 1 252
Nova Zelândia, 2 446,  256,  263,  222,  199,  154,  126,  186,  172,  176,  200,  221,  271
Outros países da Oceania,  11,-,  2,  2,-,  1,  1,-,  1,  1,  1,-,  2
Países não especificados,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fonte: Departamento de Polícia Federal e Ministério do Turismo. Disponível em <http://www.turismo.gov.br> acesso em outubro de 2019.,,,,,,,,,,,,,
Nota:  -  Dado numérico igual a zero não resultante de arredondamento,,,,,,,,,,,,,
"(1) Os dados tratados no Anuário Estatístico de Turismo da Embratur referem-se às Unidades da Federação, portanto ao Estado do Rio de Janeiro. Como no caso do Estado do Rio de Janeiro quase 99% da entrada de visitantes se dá por via aérea e como o único aeroporto Internacional no Estado é o Antonio Carlos Jobim - Galeão, localizado no município do Rio de Janeiro, pode-se considerar os dados apresentados no referido Anuário como uma ""proxy"", que substitui de forma aproximada a variável desejada para o município. Acresce ainda que além do Aeroporto Internacional Antonio Carlos Jobim, o Aeroporto Santos Dumont também mantém desembarque de passageiros vindos de voos internacionais, com registro em 2016 de movimentação de 83 passageiros em voos internacionais não regulares (fonte: http://www.infraero.gov.br), quantidade desprezível se comparada aos 4.326.918 passageiros de voos internacionais que circularam no Antonio Carlos Jobim (fonte: http://www.riogaleao.com). Além destes dois aeroportos, a ANAC apresenta para o Estado do Rio de Janeiro a soma de mais outros 9 Aeródromos Civis Públicos homologados para operar, sendo apenas os Aeródromos de Cabo Frio e Campos de Goytacazes os classificados como AP-1, aptos a realizar aviação comercial regular ou na modalidade charter para transporte de passageiros (fonte: Portaria n0. 722/SIA, de 03/03/2017 - Anexo), além de outros 15 aeródromos do tipo privado (fonte: http://www.anac.gov.br). Vale também acrescentar que segundo a INFRAERO apenas os Aeroportos Santo Dumont e o Internacional Antonio Carlos Jobim mantém serviço da Polícia Federal presente na área de desembarque, indicando atividade de controle de acesso de pessoas com residência permanente noutros países. O que se pode  apreender é que mesmo que haja no Estado do Rio aerodromos privados ou públicos com estrutura física apta a receber voos vindos de outros países, estes aeroportos colaboram muito pouco com a movimentação de visitantes, resultando impacto desprezível no total do Estado, não invalidando a adoção da ""proxy"". (4) (5)",,,,,,,,,,,,,
"(2) O Anuário de Turismo da Embratur é publicado com 1 ano de defasagem, ou seja, o anuário 2017 tem como ano base 2016.",,,,,,,,,,,,,
"(3) A estrutura de países adotada no Anuário Estatístico de Turismo ano base 2016 difere da realção apresentada no Anuário ano base 2015. Por Continente, foram destacados e substituidos os seguintes países: Em Africa - destaque para Egito, Gana, Marros, Moçambique, Quênia e Tunísia; na América Central e Caribe - destaque para El Salvador, Haiti, Honduras, Nicarágua, Republica Dominicana, Tinidad e Tobago; na América do Sul - substituição da República da Guiana por Guiana; na Ásia destaque para Arábia Saudita, Bangladesh, China - Hong Kong, Cingapura, Filipinas, Indonésia, Irã, Líbano, Malásia, Paquistão, Síria, Tailândia, Taiwan; e na Europa - destaque para Bulgária, Croácia, Eslováquia, Eslovênia, Estônia, Letônia, Lituânia, Luxemburgo, Rômenia, Sérvia, Turquia, Ucrânia e substituição de Inglaterra por Reino Unido.",,,,,,,,,,,,,
"(4) Aerodromos Civis Públicos no Estado do Rio de Janeiro: Angra dos Reis;  Cabo Frio;  Bartolomeu Lisandro (Campos de Goytacazes); Itaperuna; Macaé; Maricá; Parati; Resende; Internacional  Antônio Carlos Jobim - Galeão, Santos Dumont e Jacarepagua - Roberto Marinho (Rio de Janeiro). Aerodromos Civis Privados no Estado do Rio de Janeiro: Fazenda Pedra Branca (Angra dos Reis); Umberto Modiano (Armação de Búzios); Fazenda Ribeirão (Barra do Piraí); Fazenda Tosana e Fly Lagos (Cabo Frio); Brigadeiro Francisco Pinto de Moura e Trimote (Casimiro de Abreu);  Itaboraí; Fazenda Bom Jardim e Fazenda Portobello (Magaratiba); Fazenda Recanto Feliz (Rio Claro); Clube CÉU e Ten. Brig. Ar Waldir de Vasconcelos (Rio de Janeiro); José Bernardo (São Francisco de Itabapoana);  São João da Barra.  (Fonte: http://www.anac.gov.br/assuntos/dados-e-estatisticas/aeroportos).",,,,,,,,,,,,,
"(5) Classificação Aeroportos Civis Públicos  em Portaria n0. 722/SIA, de 03/03/2017 - Anexo em D.O.U 07/03/2017, seção 1, páginas 112 e 113.",,,,,,,,,,,,,
