Data.Rio,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Tabela 2675 - Chegada mensal de turistas pelo  Rio de Janeiro, segundo continentes e países de residência permanente - Via aérea  - 2016 (1)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Continentes e países de residência permanente (3) ,Número de turistas,,,,,,,,,,,,
,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
,,,,,,,,,,,,,
Total,1 464 905, 133 137, 145 853, 130 277, 96 183, 87 405, 91 886, 144 476, 192 236, 115 290, 106 901, 100 817, 120 444
África, 16 692, 1 886, 1 432, 1 217,  867, 1 030,  677, 2 128, 2 720, 1 609, 1 053,  980, 1 093
África do Sul, 1 660,  103,  122,  110,  91,  91,  88,  169,  250,  223,  91,  98,  224
Angola, 6 497, 1 310,  826,  709,  448,  459,  319,  408,  410,  401,  361,  405,  441
Cabo Verde,  137,  11,  5,  14,  5,  10,  15,  19,  18,  4,  7,  15,  14
Egito, 1 069,  40,  110,  135,  60,  48,  22,  106,  265,  132,  74,  41,  36
Gana,  120,  1,  4,  5,  26,  7,  4,  12,  21,  4,  22,  14,-
Marrocos, 2 426,  114,  117,  88,  60,  216,  62,  462,  436,  240,  235,  172,  224
Moçambique,  118,  21,  11,-,  1,  3,  10,  25,  3,  14,  11,  4,  15
Nigéria,  391,  15,  18,  15,  15,  33,  11,  37,  52,  102,  59,  23,  11
Quênia,  564,  4,  10,  10,  26,  16,  19,  144,  202,  100,  27,  5,  1
Tunísia, 1 082,  165,  95,  38,  32,  44,  25,  181,  225,  73,  52,  107,  45
Outros países da África, 2 628,  102,  114,  93,  103,  103,  102,  565,  838,  316,  114,  96,  82
América Central e Caribe, 13 798,  887,  771, 1 130, 1 023, 1 252,  864, 1 323, 2 464,  925, 1 015, 1 099, 1 045
Costa Rica, 2 662,  247,  121,  279,  225,  221,  229,  253,  245,  161,  192,  192,  297
Cuba, 1 631,  71,  56,  95,  104,  136,  73,  339,  360,  148,  69,  89,  91
El Salvador, 1 074,  56,  63,  74,  96,  169,  81,  80,  118,  100,  65,  91,  81
Guatemala, 1 682,  66,  71,  148,  121,  128,  126,  132,  240,  104,  195,  190,  161
Haiti,  181,  18,  10,  8,  8,  15,  4,  4,  26,  22,  16,  34,  16
Honduras,  734,  41,  37,  52,  45,  77,  49,  102,  103,  51,  77,  62,  38
Nicarágua,  297,  30,  7,  21,  32,  41,  22,  18,  37,  30,  22,  21,  16
Panamá, 2 568,  268,  278,  298,  220,  198,  148,  110,  220,  139,  183,  275,  231
República Dominicana, 1 140,  49,  41,  100,  85,  159,  87,  77,  194,  76,  135,  89,  48
Trinidad e Tobago,  428,  19,  32,  15,  27,  34,  19,  27,  154,  34,  25,  19,  23
Outros países da América Central e Caribe, 1 401,  22,  55,  40,  60,  74,  26,  181,  767,  60,  36,  37,  43
América do Norte, 255 046, 17 691, 24 008, 22 812, 15 917, 16 164, 23 663, 27 269, 53 404, 16 864, 11 168, 10 317, 15 769
Canadá, 21 589, 2 007, 2 322, 2 045, 1 357, 1 237, 1 377, 2 369, 5 081, 1 799,  577,  590,  828
Estados Unidos, 220 071, 14 901, 20 743, 19 598, 13 716, 13 837, 21 029, 23 419, 46 311, 14 239, 9 422, 8 931, 13 925
México, 13 386,  783,  943, 1 169,  844, 1 090, 1 257, 1 481, 2 012,  826, 1 169,  796, 1 016
América do Sul, 588 545, 63 259, 59 502, 52 780, 37 197, 37 430, 37 112, 51 782, 39 963, 46 968, 52 996, 51 603, 57 953
Argentina, 369 061, 41 227, 36 030, 31 692, 23 558, 22 868, 21 157, 32 639, 25 573, 28 350, 32 682, 33 071, 40 214
Bolívia,  917,  69,  69,  99,  66,  51,  58,  102,  59,  73,  84,  91,  96
Chile, 120 083, 13 024, 14 916, 8 571, 6 919, 7 438, 8 346, 11 117, 6 718, 9 799, 11 784, 11 223, 10 228
Colômbia, 26 699, 2 280, 1 906, 3 030, 1 758, 1 896, 2 551, 2 430, 2 327, 1 818, 2 072, 1 907, 2 724
Equador, 5 177,  245,  324,  601,  537,  471,  378,  422,  385,  429,  488,  548,  349
Guiana,  50,-,  4,  4,  5,  1,  3,  3,  18,  4,-,  5,  3
Guiana Francesa,-,-,-,-,-,-,-,-,-,-,-,-,-
Paraguai, 3 984,  514,  326,  392,  264,  366,  396,  378,  216,  245,  258,  246,  383
Peru, 14 351,  958, 1 301, 1 689, 1 099, 1 410, 1 135, 1 227, 1 050,  988, 1 185, 1 237, 1 072
Suriname,  57,  1,-,  3,  8,  4,  1,-,  5,  18,  8,  4,  5
Uruguai, 41 627, 4 287, 4 010, 5 939, 2 468, 2 399, 2 660, 2 924, 2 891, 4 731, 4 012, 2 911, 2 395
Venezuela, 6 539,  654,  616,  760,  515,  526,  427,  540,  721,  513,  423,  360,  484
Ásia, 69 666, 3 335, 6 428, 3 929, 3 463, 3 278, 3 107, 10 174, 18 958, 7 689, 3 643, 2 760, 2 902
Arábia Saudita,  424,  21,  33,  47,  37,  26,  5,  55,  100,  40,  27,  22,  11
