Data.Rio,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Tabela 2675 - Chegada mensal de turistas pelo  Rio de Janeiro, segundo continentes e países de residência permanente - Via aérea  - 2016 (1)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Continentes e países de residência permanente (3) ,Número de turistas,,,,,,,,,,,,
,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Bangladesh,  144,  3,  4,  12,  4,  5,  12,  22,  41,  8,  26,  4,  3
China, 14 330,  601, 1 164,  911,  678,  776,  687, 2 685, 3 607, 1 084,  871,  682,  584
"China, Hong Kong", 1 306,  60,  356,  110,  60,  74,  80,  125,  154,  96,  55,  55,  81
Cingapura, 1 147,  114,  76,  60,  125,  104,  66,  110,  159,  100,  85,  88,  60
Filipinas, 1 660,  96,  158,  187,  88,  125,  109,  173,  264,  131,  118,  124,  87
Índia, 3 704,  206,  390,  213,  272,  269,  308,  385,  572,  326,  345,  210,  208
Indonésia,  575,  15,  22,  47,  26,  38,  25,  71,  140,  55,  69,  26,  41
Irã, 1 301,  10,  155,  120,  44,  47,  38,  125,  133,  421,  114,  71,  23
Israel, 7 701,  973, 1 384,  443,  521,  437,  294,  510,  864,  735,  499,  392,  649
Japão, 22 449,  600, 1 448,  765,  806,  768,  833, 3 435, 9 001, 3 381,  584,  427,  401
Líbano,  630,  44,  70,  62,  18,  27,  56,  71,  59,  44,  51,  30,  98
Malásia, 1 575,  54,  98,  85,  115,  52,  76,  180,  458,  158,  96,  110,  93
Paquistão,  416,  8,  19,  44,  21,  15,  7,  155,  56,  22,  30,  25,  14
República da Coreia, 5 245,  286,  390,  363,  250,  254,  289, 1 072, 1 281,  451,  172,  176,  261
Síria,  139,  15,  7,  5,  5,  3,  8,  12,  15,  10,  26,  22,  11
Tailândia, 1 352,  26,  95,  74,  93,  60,  63,  180,  463,  110,  91,  32,  65
Taiwan, 1 656,  56,  308,  206,  80,  63,  34,  220,  306,  74,  115,  107,  87
Outros países da Ásia, 3 912,  147,  251,  175,  220,  135,  117,  588, 1 285,  443,  269,  157,  125
Europa, 496 504, 44 674, 51 779, 47 269, 36 406, 27 101, 25 217, 48 727, 67 585, 38 229, 35 868, 33 128, 40 521
Alemanha, 57 653, 4 670, 5 169, 7 143, 3 884, 3 456, 2 586, 5 222, 7 800, 5 013, 4 855, 3 640, 4 215
Áustria, 6 821,  551,  642,  738,  368,  374,  302,  867,  834,  555,  528,  471,  591
Bélgica, 10 925,  825,  747, 1 111,  779,  484,  484, 1 500, 1 655, 1 045,  892,  658,  745
Bulgária, 1 512,  121,  172,  110,  143,  63,  59,  109,  290,  81,  107,  144,  113
Croácia, 1 619,  104,  133,  98,  76,  63,  40,  232,  394,  126,  87,  181,  85
Dinamarca, 8 523,  710,  859,  828,  437,  363,  472,  824, 1 794,  584,  482,  543,  627
Eslováquia, 1 548,  74,  126,  98,  89,  62,  95,  162,  390,  191,  107,  113,  41
Eslovênia, 1 114,  71,  84,  84,  67,  77,  52,  128,  283,  111,  82,  45,  30
Espanha, 32 861, 2 521, 2 548, 3 160, 2 130, 1 917, 2 121, 3 770, 4 109, 3 082, 2 455, 2 315, 2 733
Estônia,  836,  58,  92,  66,  88,  37,  43,  107,  179,  29,  52,  59,  26
Finlândia, 4 099,  427,  471,  300,  221,  165,  176,  432,  969,  308,  247,  203,  180
França, 84 960, 6 791, 11 939, 6 709, 8 670, 5 361, 3 996, 7 518, 8 498, 5 191, 6 937, 6 143, 7 207
Grécia, 3 101,  182,  264,  224,  245,  196,  150,  446,  603,  234,  156,  177,  224
Holanda, 24 454, 1 697, 1 589, 1 454, 1 989, 1 284, 1 130, 3 291, 5 331, 2 267, 1 675, 1 395, 1 352
Hungria, 3 385,  245,  283,  166,  199,  95,  142,  486, 1 187,  224,  111,  129,  118
Irlanda, 5 375,  445,  478,  427,  286,  294,  295,  635,  956,  526,  436,  267,  330
Itália, 44 806, 5 245, 4 602, 4 156, 2 864, 2 059, 2 761, 3 535, 4 235, 2 979, 2 867, 3 671, 5 832
Letônia,  797,  51,  70,  126,  38,  38,  26,  59,  231,  44,  37,  48,  29
Lituânia, 1 286,  98,  52,  139,  55,  65,  76,  102,  438,  85,  45,  80,  51
Luxemburgo,  594,  29,  27,  89,  36,  29,  21,  44,  129,  44,  71,  38,  37
Noruega, 9 138,  688, 1 064, 1 054,  581,  357,  664,  738, 1 006,  816,  800,  573,  797
Polônia, 8 239,  765, 1 072,  743,  499,  449,  379,  738, 1 176,  642,  664,  645,  467
Portugal, 44 430, 4 573, 4 704, 5 668, 3 492, 2 503, 2 622, 2 505, 2 672, 2 872, 3 409, 4 046, 5 364
Reino Unido, 82 837, 8 477, 9 265, 8 452, 5 356, 4 491, 4 014, 8 822, 12 959, 7 323, 4 992, 4 059, 4 627
República Tcheca, 3 308,  238,  301,  273,  243,  147,  121,  421,  834,  258,  155,  206,  111
Romênia, 2 590,  257,  326,  183,  220,  135,  115,  298,  311,  173,  214,  168,  190
Rússia, 10 083, 1 051,  987,  699,  787,  529,  425, 1 429, 2 072,  393,  521,  508,  682
Sérvia, 1 570,  110,  118,  73,  84,  52,  78,  216,  499,  139,  85,  62,  54
Suécia, 11 825, 1 387, 1 209, 1 117,  565,  558,  664, 1 033, 1 602,  694,  912,  825, 1 259
Suíça, 17 228, 1 421, 1 523, 1 183, 1 376,  996,  811, 2 074, 2 123, 1 143, 1 450, 1 227, 1 901
Turquia, 2 729,  345,  294,  257,  128,  170,  106,  153,  353,  371,  146,  225,  181
Ucrânia, 3 163,  278,  349,  183,  187,  136,  104,  375,  704,  312,  162,  154,  219
Outros países da Europa, 3 095,  169,  220,  158,  224,  96,  87,  456,  969,  374,  129,  110,  103
Oceania, 24 639, 1 405, 1 932, 1 139, 1 310, 1 150, 1 245, 3 073, 7 141, 2 996, 1 158,  929, 1 161
Austrália, 18 465, 1 185, 1 545,  921, 1 061,  930,  955, 2 171, 5 001, 2 107,  918,  760,  911
Nova Zelândia, 5 808,  219,  383,  217,  238,  219,  290,  814, 1 912,  859,  240,  168,  249
Outros países da Oceania,  366,  1,  4,  1,  11,  1,-,  88,  228,  30,-,  1,  1
Países não especificados,  15,-,  1,  1,-,-,  1,-,  1,  10,-,,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fonte: Departamento de Polícia Federal e Ministério do Turismo. Disponível em <http://www.turismo.gov.br> acesso em junho de 2017.,,,,,,,,,,,,,
Disponível em <http://www.turismo.gov.br> acesso em junho de 2017.,,,,,,,,,,,,,
Nota:  -  Dado numérico igual a zero não resultante de arredondamento,,,,,,,,,,,,,
"(1) Os dados tratados no Anuário Estatístico de Turismo da Embratur referem-se às Unidades da Federação, portanto ao Estado do Rio de Janeiro. Como no caso do Estado do Rio de Janeiro quase 99% da entrada de visitantes se dá por via aérea e como o único aeroporto Internacional no Estado é o Antonio Carlos Jobim - Galeão, localizado no município do Rio de Janeiro, pode-se considerar os dados apresentados no referido Anuário como uma ""proxy"", que substitui de forma aproximada a variável desejada para o município. Acresce ainda que além do Aeroporto Internacional Antonio Carlos Jobim, o Aeroporto Santos Dumont também mantém desembarque de passageiros vindos de voos internacionais, com registro em 2016 de movimentação de 83 passageiros em voos internacionais não regulares (fonte: http://www.infraero.gov.br), quantidade desprezível se comparada aos 4.326.918 passageiros de voos internacionais que circularam no Antonio Carlos Jobim (fonte: http://www.riogaleao.com). Além destes dois aeroportos, a ANAC apresenta para o Estado do Rio de Janeiro a soma de mais outros 9 Aeródromos Civis Públicos homologados para operar, sendo apenas os Aeródromos de Cabo Frio e Campos de Goytacazes os classificados como AP-1, aptos a realizar aviação comercial regular ou na modalidade charter para transporte de passageiros (fonte: Portaria n0. 722/SIA, de 03/03/2017 - Anexo), além de outros 15 aeródromos do tipo privado (fonte: http://www.anac.gov.br). Vale também acrescentar que segundo a INFRAERO apenas os Aeroportos Santo Dumont e o Internacional Antonio Carlos Jobim mantém serviço da Polícia Federal presente na área de desembarque, indicando atividade de controle de acesso de pessoas com residência permanente noutros países. O que se pode  apreender é que mesmo que haja no Estado do Rio aerodromos privados ou públicos com estrutura física apta a receber voos vindos de outros países, estes aeroportos colaboram muito pouco com a movimentação de visitantes, resultando impacto desprezível no total do Estado, não invalidando a adoção da ""proxy"". (4) (5)",,,,,,,,,,,,,
"(2) O Anuário de Turismo da Embratur é publicado com 1 ano de defasagem, ou seja, o anuário 2017 tem como ano base 2016.",,,,,,,,,,,,,
"(3) A estrutura de países adotada no Anuário Estatístico de Turismo ano base 2016 difere da realção apresentada no Anuário ano base 2015. Por Continente, foram destacados e substituidos os seguintes países: Em Africa - destaque para Egito, Gana, Marros, Moçambique, Quênia e Tunísia; na América Central e Caribe - destaque para El Salvador, Haiti, Honduras, Nicarágua, Republica Dominicana, Tinidad e Tobago; na América do Sul - substituição da República da Guiana por Guiana; na Ásia destaque para Arábia Saudita, Bangladesh, China - Hong Kong, Cingapura, Filipinas, Indonésia, Irã, Líbano, Malásia, Paquistão, Síria, Tailândia, Taiwan; e na Europa - destaque para Bulgária, Croácia, Eslováquia, Eslovênia, Estônia, Letônia, Lituânia, Luxemburgo, Rômenia, Sérvia, Turquia, Ucrânia e substituição de Inglaterra por Reino Unido.",,,,,,,,,,,,,
"(4) Aerodromos Civis Públicos no Estado do Rio de Janeiro: Angra dos Reis;  Cabo Frio;  Bartolomeu Lisandro (Campos de Goytacazes); Itaperuna; Macaé; Maricá; Parati; Resende; Internacional  Antônio Carlos Jobim - Galeão, Santos Dumont e Jacarepagua - Roberto Marinho (Rio de Janeiro). Aerodromos Civis Privados no Estado do Rio de Janeiro: Fazenda Pedra Branca (Angra dos Reis); Umberto Modiano (Armação de Búzios); Fazenda Ribeirão (Barra do Piraí); Fazenda Tosana e Fly Lagos (Cabo Frio); Brigadeiro Francisco Pinto de Moura e Trimote (Casimiro de Abreu);  Itaboraí; Fazenda Bom Jardim e Fazenda Portobello (Magaratiba); Fazenda Recanto Feliz (Rio Claro); Clube CÉU e Ten. Brig. Ar Waldir de Vasconcelos (Rio de Janeiro); José Bernardo (São Francisco de Itabapoana);  São João da Barra.  (Fonte: http://www.anac.gov.br/assuntos/dados-e-estatisticas/aeroportos).",,,,,,,,,,,,,
"(5) Classificação Aeroportos Civis Públicos  em Portaria n0. 722/SIA, de 03/03/2017 - Anexo em D.O.U 07/03/2017, seção 1, páginas 112 e 113.",,,,,,,,,,,,,
