Data.Rio,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Tabela 2675 - Chegada mensal de turistas pelo  Rio de Janeiro, segundo continentes e países de residência permanente - Via aérea  - 2015 (1)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Continentes e países de residência permanente,Número de turistas,,,,,,,,,,,,
,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
   Polônia, 8 996,  760,  962, 1 156,  760,  808,  420,  562,  530,  455,  626, 1 255,  702
   Portugal, 47 628, 3 718, 4 050, 5 753, 3 525, 2 929, 3 330, 2 904, 3 181, 2 138, 3 766, 5 516, 6 818
   República Tcheca, 3 247,  192,  345,  428,  288,  253,  205,  238,  115,  145,  252,  562,  224
   Rússia, 11 600,  908, 1 126, 1 022, 1 359, 1 054, 1 127,  556,  435,  381,  929, 1 365, 1 338
   Suécia, 10 792,  960, 1 206,  970,  814,  444,  707,  720,  443,  328, 1 091, 1 078, 2 031
   Suíça, 15 216, 1 147, 1 486, 1 331, 1 191,  753,  680, 1 659,  781,  647, 1 487, 1 612, 2 442
   Outros, 17 662, 1 173, 2 046, 1 651, 1 379, 1 313, 1 194, 1 108, 1 001, 1 006, 1 617, 2 279, 1 895
Oceania, 17 428,  959, 2 171, 1 315, 1 425, 1 491, 1 238, 1 390, 1 168, 1 113, 1 697, 1 581, 1 880
   Austrália, 14 373,  817, 1 913, 1 082, 1 206, 1 233, 1 014, 1 043,  885,  941, 1 400, 1 329, 1 510
   Nova Zelândia, 3 018,  139,  252,  230,  217,  255,  222,  345,  271,  170,  295,  252,  370
   Outros,  37,  3,  6,  3,  2,  3,  2,  2,  12,  2,  2, - , - 
Países não especificados,  19,  2, - ,  3,  2,  3, - , - ,  2,  2,  3,  2, - 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fonte:  Departamento de Polícia Federal; Instituto Brasileiro de Turismo - EMBRATUR. Anuário Estatístico EMBRATUR 2016 (2).,,,,,,,,,,,,,
Disponível em <http://www.turismo.gov.br> acesso em maio de 2016.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Nota:  -  Dado numérico igual a zero não resultante de arredondamento,,,,,,,,,,,,,
"(1) Os dados tratados no Anuário Estatístico de Turismo da Embratur referem-se às Unidades da Federação, portanto ao Estado do Rio de Janeiro. Como no caso do Estado do Rio de Janeiro quase 98% da entrada de visitantes se dá por via aérea e como o único aeroporto internacional é o Antonio Carlos Jobim, localizado no município do Rio de Janeiro, pode-se considerar os dados apresentados no referido Anuário como uma ""proxy"" , que substitui de forma aproximada a variável desejada para o município. Acresce ainda que, o Aeroporto Umberto Modiano em Búzios, que recebe alguns vôos charters vindos da Argentina, portanto não sendo vôos comerciais, além de vôos de carga , encontra-se com suas atividades suspensas pela ANAC por 6 meses desde julho de 2012 em virtude de irregularidades encontradas. Mesmo os anos anteriores não tendo sido submetidos à esta restrição, a movimentação de visitantes neste aeroporto tem um impacto desprezível no total do Estado, não invalidando a adoção da ""proxy"".",,,,,,,,,,,,,
"(2) O Anuário de Turismo da Embratur é publicado com 1 ano de defasagem, ou seja, o anuário 2016 tem como ano base 2015.",,,,,,,,,,,,,
