Data.Rio,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Tabela 2675 - Chegada mensal de turistas pelo  Rio de Janeiro, segundo continentes e países de residência permanente - Via aérea  - 2018 (1)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Continentes e países de residência permanente (3) ,Número de turistas,,,,,,,,,,,,
,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Honduras,  624,  32,  45,  39,  25,  29,  18,  31,  32,  68,  165,  58,  82
Nicarágua,  281,  12,  13,  25,  29,  17,  29,  8,  14,  41,  31,  34,  28
Panamá, 2 457,  192,  155,  192,  138,  135,  132,  114,  174,  273,  250,  470,  232
República Dominicana, 1 056,  22,  31,  51,  34,  23,  39,  41,  76,  72,  528,  92,  47
Trinidad e Tobago,  281,  13,  17,  12,  13,  19,  23,  30,  23,  65,  19,  31,  16
Outros países da América Central e Caribe,  473,  29,  29,  39,  23,  31,  19,  31,  49,  84,  36,  58,  45
América do Norte, 139 097, 7 880, 13 255, 14 254, 9 561, 9 953, 8 937, 11 968, 14 351, 10 640, 9 892, 11 257, 17 149
Canadá, 10 145,  737,  854,  761,  499,  436,  366, 1 042, 1 608, 1 182,  676,  728, 1 256
Estados Unidos, 117 738, 6 565, 11 312, 11 991, 8 175, 8 683, 7 856, 9 873, 11 891, 8 638, 8 233, 9 589, 14 932
México, 11 214,  578, 1 089, 1 502,  887,  834,  715, 1 053,  852,  820,  983,  940,  961
América do Sul, 683 532, 92 990, 76 873, 75 664, 52 130, 36 630, 30 052, 47 606, 43 606, 51 360, 52 493, 52 780, 71 348
Argentina, 417 605, 65 789, 49 135, 52 422, 35 576, 19 619, 14 534, 27 619, 23 575, 27 936, 27 103, 29 587, 44 710
Bolívia, 1 415,  117,  82,  69,  66,  92,  67,  269,  111,  160,  109,  109,  164
Chile, 153 905, 19 444, 19 946, 11 223, 9 339, 9 217, 7 864, 12 358, 10 156, 12 412, 13 548, 12 717, 15 681
Colômbia, 36 271, 1 676, 1 653, 3 421, 2 026, 2 499, 3 457, 2 329, 3 078, 3 485, 4 401, 4 148, 4 098
Equador, 7 000,  184,  449,  534,  453,  538,  430,  387, 1 061,  782, 1 027,  676,  479
Guiana,  87,  4,  6,  2,  6,  4,  3,  6,  2,  31,  12,  5,  6
Guiana Francesa,-,-,-,-,-,-,-,-,-,-,-,-,-
Paraguai, 4 962,  745,  550,  509,  259,  501,  287,  301,  402,  298,  276,  254,  580
Peru, 24 182, 1 689, 2 011, 2 619, 1 818, 1 968, 1 547, 1 803, 2 225, 1 806, 2 260, 2 120, 2 316
Suriname,  25,  2,-,  2,  3,  2,-,  3,  5,  1,  3,-,  4
Uruguai, 32 630, 3 110, 2 696, 4 403, 2 189, 1 776, 1 479, 2 152, 2 522, 3 859, 3 313, 2 581, 2 550
Venezuela, 5 450,  230,  345,  460,  395,  414,  384,  379,  469,  590,  441,  583,  760
Ásia, 42 301, 3 424, 5 689, 4 035, 2 411, 2 354, 2 371, 3 486, 3 780, 3 433, 3 783, 4 037, 3 498
Arábia Saudita,  401,  11,  17,  11,  19,  6,  21,  46,  48,  83,  31,  71,  37
Bangladesh,  209,  2,  1,  40,  3,  3,  16,  39,  29,  14,  48,  9,  5
China, 8 198,  443,  609,  736,  469,  583,  586,  725, 1 069,  656,  559, 1 020,  743
"China, Hong Kong", 1 038,  69,  351,  89,  31,  36,  28,  97,  56,  69,  31,  55,  126
Cingapura, 1 320,  34,  29,  66,  74,  50,  61,  79,  84,  436,  128,  164,  115
Filipinas, 1 173,  42,  42,  75,  97,  123,  103,  131,  99,  118,  190,  83,  70
Índia, 3 678,  153,  253,  301,  270,  267,  188,  394,  312,  245,  702,  325,  268
Indonésia,  486,  31,  24,  34,  21,  10,  44,  64,  16,  34,  114,  60,  34
Irã,  313,  9,  32,  101,  6,  10,  21,  31,  34,  14,  10,  29,  16
Israel, 10 989, 1 702, 2 969, 1 297,  439,  415,  323,  299,  325,  722,  672,  830,  996
Japão, 4 641,  247,  515,  349,  385,  309,  476,  486,  611,  376,  224,  287,  376
Líbano,  557,  84,  117,  97,  18,  36,  28,  26,  39,  23,  23,  32,  34
Malásia, 1 358,  51,  67,  103,  121,  96,  78,  84,  160,  221,  127,  149,  101
Paquistão,  386,  34,  21,  17,  5,  15,  19,  15,  34,  12,  164,  41,  9
República da Coreia, 2 909,  318,  221,  319,  178,  182,  173,  222,  206,  168,  261,  370,  291
Síria,  117,  12,  15,  16,  11,  6,  9,  8,  13,  6,  4,  12,  5
Tailândia,  892,  22,  80,  106,  97,  91,  26,  37,  156,  67,  109,  37,  64
Taiwan,  853,  73,  165,  117,  49,  31,  41,  70,  48,  39,  83,  87,  50
Outros países da Ásia, 2 783,  87,  161,  161,  118,  85,  130,  633,  441,  130,  303,  376,  158
Europa, 345 542, 29 549, 38 430, 37 267, 24 760, 18 819, 17 082, 25 399, 28 834, 22 824, 28 191, 33 112, 41 275
Alemanha, 48 817, 3 877, 5 055, 7 282, 3 092, 2 811, 2 345, 3 233, 3 375, 3 735, 4 078, 4 486, 5 448
Áustria, 5 956,  457,  499,  618,  353,  340,  290,  426,  324,  356,  701,  733,  859
Bélgica, 6 609,  437,  617,  602,  478,  296,  407,  941,  547,  574,  549,  560,  601
Bulgária,  903,  113,  117,  150,  69,  43,  30,  30,  69,  49,  53,  92,  88
Croácia,  630,  68,  53,  54,  32,  32,  35,  35,  37,  44,  49,  89,  102
Dinamarca, 4 194,  425,  549,  404,  271,  167,  205,  489,  219,  242,  381,  332,  510
Eslováquia,  865,  81,  79,  127,  55,  21,  50,  26,  32,  97,  71,  164,  62
Eslovênia,  547,  94,  37,  44,  19,  17,  19,  36,  14,  55,  42,  71,  99
Espanha, 21 380, 1 450, 1 715, 2 099, 1 821, 1 388, 1 440, 1 635, 2 153, 1 538, 1 589, 2 083, 2 469
Estônia,  431,  44,  94,  47,  26,  17,  6,  16,  14,  14,  44,  70,  39
Finlândia, 2 174,  186,  195,  167,  102,  92,  76,  228,  153,  117,  192,  304,  362
França, 69 650, 4 794, 8 186, 6 307, 6 014, 4 378, 3 151, 6 052, 7 380, 4 231, 6 043, 6 148, 6 966
Grécia, 1 493,  94,  125,  146,  74,  76,  78,  120,  116,  115,  144,  153,  252
Holanda, 13 987, 1 046, 1 274, 1 154, 1 259,  918,  879, 1 575, 1 042,  998, 1 132, 1 247, 1 463
Hungria, 1 304,  130,  178,  191,  54,  37,  65,  92,  134,  56,  148,  89,  130
Irlanda, 5 653,  403,  602,  548,  457,  313,  416,  518,  470,  511,  356,  472,  587
Itália, 37 924, 3 748, 3 341, 3 540, 2 324, 1 532, 1 751, 2 559, 5 029, 2 401, 2 449, 3 457, 5 793
Letônia,  298,  17,  18,  23,  14,  17,  8,  15,  9,  21,  43,  84,  29
Lituânia,  555,  48,  48,  61,  41,  28,  36,  25,  19,  47,  97,  50,  55
Luxemburgo,  299,  11,  35,  25,  44,  11,  6,  41,  15,  17,  15,  24,  55
Noruega, 6 738,  620,  792,  876,  406,  298,  466,  329,  331,  445,  637,  723,  815
Polônia, 8 463, 1 470, 1 487,  923,  394,  227,  259,  390,  432,  453,  393, 1 256,  779
Portugal, 28 554, 2 384, 2 992, 3 472, 2 144, 1 596, 1 175, 1 696, 2 020, 1 681, 2 137, 2 857, 4 400
Reino Unido, 38 985, 3 638, 5 479, 4 260, 2 730, 2 120, 2 212, 2 345, 2 788, 2 737, 3 462, 3 520, 3 694
República Tcheca, 1 787,  131,  219,  235,  128,  58,  68,  71,  80,  140,  238,  292,  127
Romênia, 1 963,  116,  233,  177,  108,  103,  92,  76,  97,  100,  223,  377,  261
Rússia, 6 952,  716, 1 015,  760,  418,  280,  237,  309,  418,  479,  587,  832,  901
Sérvia,  711,  80,  81,  45,  36,  35,  56,  68,  39,  60,  47,  74,  90
Suécia, 8 090, 1 093, 1 151,  870,  324,  248,  368,  484,  357,  470,  662,  690, 1 373
Suíça, 14 828, 1 296, 1 514, 1 685, 1 211, 1 080,  649, 1 185,  715,  754, 1 229, 1 260, 2 250
Turquia, 1 785,  221,  238,  92,  78,  76,  56,  180,  197,  109,  97,  232,  209
Ucrânia, 1 691,  142,  220,  177,  116,  90,  87,  81,  107,  90,  133,  194,  254
Outros países da Europa, 1 326,  119,  192,  106,  68,  74,  64,  93,  102,  88,  170,  97,  153
Oceania, 13 524, 1 095, 1 707, 1 257, 1 045,  995,  752,  936,  838, 1 182, 1 216, 1 026, 1 475
Austrália, 11 041,  863, 1 392,  939,  889,  860,  619,  777,  697,  982,  991,  811, 1 221
Nova Zelândia, 2 459,  232,  314,  316,  153,  134,  128,  155,  139,  195,  225,  215,  253
Outros países da Oceania,  24,-,  1,  2,  3,  1,  5,  4,  2,  5,-,-,  1
Países não especificados,  8,-,  2,  2,-,-,-,-,-,-,  2,-,  2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fonte: Departamento de Polícia Federal e Ministério do Turismo. Disponível em <http://www.turismo.gov.br> acesso em outubro de 2019.,,,,,,,,,,,,,
Nota:  -  Dado numérico igual a zero não resultante de arredondamento,,,,,,,,,,,,,
"(1) Os dados tratados no Anuário Estatístico de Turismo da Embratur referem-se às Unidades da Federação, portanto ao Estado do Rio de Janeiro. Como no caso do Estado do Rio de Janeiro quase 99% da entrada de visitantes se dá por via aérea e como o único aeroporto Internacional no Estado é o Antonio Carlos Jobim - Galeão, localizado no município do Rio de Janeiro, pode-se considerar os dados apresentados no referido Anuário como uma ""proxy"", que substitui de forma aproximada a variável desejada para o município. Acresce ainda que além do Aeroporto Internacional Antonio Carlos Jobim, o Aeroporto Santos Dumont também mantém desembarque de passageiros vindos de voos internacionais, com registro em 2016 de movimentação de 83 passageiros em voos internacionais não regulares (fonte: http://www.infraero.gov.br), quantidade desprezível se comparada aos 4.326.918 passageiros de voos internacionais que circularam no Antonio Carlos Jobim (fonte: http://www.riogaleao.com). Além destes dois aeroportos, a ANAC apresenta para o Estado do Rio de Janeiro a soma de mais outros 9 Aeródromos Civis Públicos homologados para operar, sendo apenas os Aeródromos de Cabo Frio e Campos de Goytacazes os classificados como AP-1, aptos a realizar aviação comercial regular ou na modalidade charter para transporte de passageiros (fonte: Portaria n0. 722/SIA, de 03/03/2017 - Anexo), além de outros 15 aeródromos do tipo privado (fonte: http://www.anac.gov.br). Vale também acrescentar que segundo a INFRAERO apenas os Aeroportos Santo Dumont e o Internacional Antonio Carlos Jobim mantém serviço da Polícia Federal presente na área de desembarque, indicando atividade de controle de acesso de pessoas com residência permanente noutros países. O que se pode  apreender é que mesmo que haja no Estado do Rio aerodromos privados ou públicos com estrutura física apta a receber voos vindos de outros países, estes aeroportos colaboram muito pouco com a movimentação de visitantes, resultando impacto desprezível no total do Estado, não invalidando a adoção da ""proxy"". (4) (5)",,,,,,,,,,,,,
"(2) O Anuário de Turismo da Embratur é publicado com 1 ano de defasagem, ou seja, o anuário 2017 tem como ano base 2016.",,,,,,,,,,,,,
"(3) A estrutura de países adotada no Anuário Estatístico de Turismo ano base 2016 difere da realção apresentada no Anuário ano base 2015. Por Continente, foram destacados e substituidos os seguintes países: Em Africa - destaque para Egito, Gana, Marros, Moçambique, Quênia e Tunísia; na América Central e Caribe - destaque para El Salvador, Haiti, Honduras, Nicarágua, Republica Dominicana, Tinidad e Tobago; na América do Sul - substituição da República da Guiana por Guiana; na Ásia destaque para Arábia Saudita, Bangladesh, China - Hong Kong, Cingapura, Filipinas, Indonésia, Irã, Líbano, Malásia, Paquistão, Síria, Tailândia, Taiwan; e na Europa - destaque para Bulgária, Croácia, Eslováquia, Eslovênia, Estônia, Letônia, Lituânia, Luxemburgo, Rômenia, Sérvia, Turquia, Ucrânia e substituição de Inglaterra por Reino Unido.",,,,,,,,,,,,,
"(4) Aerodromos Civis Públicos no Estado do Rio de Janeiro: Angra dos Reis;  Cabo Frio;  Bartolomeu Lisandro (Campos de Goytacazes); Itaperuna; Macaé; Maricá; Parati; Resende; Internacional  Antônio Carlos Jobim - Galeão, Santos Dumont e Jacarepagua - Roberto Marinho (Rio de Janeiro). Aerodromos Civis Privados no Estado do Rio de Janeiro: Fazenda Pedra Branca (Angra dos Reis); Umberto Modiano (Armação de Búzios); Fazenda Ribeirão (Barra do Piraí); Fazenda Tosana e Fly Lagos (Cabo Frio); Brigadeiro Francisco Pinto de Moura e Trimote (Casimiro de Abreu);  Itaboraí; Fazenda Bom Jardim e Fazenda Portobello (Magaratiba); Fazenda Recanto Feliz (Rio Claro); Clube CÉU e Ten. Brig. Ar Waldir de Vasconcelos (Rio de Janeiro); José Bernardo (São Francisco de Itabapoana);  São João da Barra.  (Fonte: http://www.anac.gov.br/assuntos/dados-e-estatisticas/aeroportos).",,,,,,,,,,,,,
"(5) Classificação Aeroportos Civis Públicos  em Portaria n0. 722/SIA, de 03/03/2017 - Anexo em D.O.U 07/03/2017, seção 1, páginas 112 e 113.",,,,,,,,,,,,,
