Data.Rio,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Tabela 2675 - Chegada mensal de turistas pelo  Rio de Janeiro, segundo continentes e países de residência permanente - Via aérea  - 2018 (1)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Continentes e países de residência permanente (3) ,Número de turistas,,,,,,,,,,,,
,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
,,,,,,,,,,,,,
Total,1 247 799, 136 541, 137 791, 134 818, 91 562, 70 121, 60 522, 90 779, 93 604, 91 437, 98 535, 104 648, 137 441
África, 12 344,  892, 1 208, 1 297,  985,  731,  697,  756, 1 361,  861, 1 172,  960, 1 424
África do Sul, 2 660,  188,  219,  284,  258,  150,  169,  108,  134,  161,  192,  222,  575
Angola, 3 211,  254,  314,  394,  243,  299,  203,  207,  450,  269,  172,  219,  187
Cabo Verde,  99,  3,  14,  1,  1,  5,  2,  12,  11,  8,  13,  5,  24
Egito,  541,  41,  71,  57,  40,  25,  19,  74,  39,  41,  61,  31,  42
Gana,  75,  3,  12,  13,  3,  4,  8,  5,  2,  4,  13,  5,  3
Marrocos, 2 797,  201,  305,  276,  259,  91,  86,  165,  549,  178,  186,  167,  334
Moçambique,  622,  85,  75,  29,  43,  21,  23,  18,  11,  32,  97,  91,  97
Nigéria,  347,  4,  6,  19,  11,  10,  92,  27,  14,  16,  119,  13,  16
Quênia,  175,  2,  8,  26,  6,  9,  4,  8,  1,  4,  60,  28,  19
Tunísia,  706,  30,  90,  90,  50,  29,  38,  44,  51,  73,  80,  70,  61
Outros países da África, 1 111,  81,  94,  108,  71,  88,  53,  88,  99,  75,  179,  109,  66
América Central e Caribe, 11 451,  711,  627, 1 042,  670,  639,  631,  628,  834, 1 137, 1 786, 1 476, 1 270
Costa Rica, 2 833,  249,  140,  254,  231,  151,  138,  186,  200,  208,  344,  337,  395
Cuba,  612,  32,  32,  69,  34,  45,  39,  70,  65,  42,  44,  74,  66
El Salvador,  875,  37,  43,  115,  42,  56,  49,  58,  78,  77,  135,  104,  81
Guatemala, 1 707,  79,  106,  236,  84,  125,  123,  45,  89,  171,  208,  197,  244
Haiti,  252,  14,  16,  10,  17,  8,  22,  14,  34,  36,  26,  21,  34
