Data.Rio,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Tabela 2675 - Chegada mensal de turistas pelo  Rio de Janeiro, segundo continentes e países de residência permanente - Via aérea  - 2019 (1)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Continentes e países de residência permanente (3) ,Número de turistas,,,,,,,,,,,,
,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Síria,  103,  7,  10,  14,  11,  6,  6,  8,  2,  7,  5,  16,  11
Tailândia,  669,  32,  45,  77,  86,  30,  27,  86,  108,  58,  43,  54,  23
Taiwan,  741,  41,  56,  228,  20,  80,  26,  27,  33,  34,  60,  78,  58
Outros países da Ásia, 2 182,  95,  196,  399,  127,  149,  179,  141,  179,  81,  239,  196,  201
Europa, 357 829, 28 503, 39 488, 38 102, 31 461, 20 849, 18 919, 27 624, 30 663, 23 445, 28 279, 32 484, 38 012
Alemanha, 43 827, 3 391, 4 787, 5 741, 3 729, 2 316, 2 304, 3 060, 2 848, 3 541, 3 972, 3 754, 4 384
Áustria, 5 010,  425,  593,  568,  306,  287,  218,  475,  354,  289,  401,  513,  581
Bélgica, 6 288,  443,  529,  593,  564,  298,  409, 1 033,  493,  538,  395,  494,  499
Bulgária, 1 075,  68,  122,  157,  60,  43,  67,  29,  40,  50,  65,  162,  212
Croácia,  994,  72,  50,  72,  177,  195,  120,  37,  42,  38,  30,  79,  82
Dinamarca, 5 043,  372,  491,  407,  449,  254,  268,  583,  304,  363,  472,  457,  623
Eslováquia,  941,  83,  120,  78,  84,  38,  41,  67,  37,  47,  54,  210,  82
Eslovênia,  417,  30,  67,  53,  23,  16,  19,  30,  24,  24,  40,  49,  42
Espanha, 20 659, 1 553, 1 574, 1 710, 1 862, 1 356, 1 212, 1 734, 2 380, 1 467, 1 570, 2 117, 2 124
Estônia,  514,  60,  150,  51,  26,  15,  22,  16,  7,  20,  22,  77,  48
Finlândia, 1 823,  204,  326,  195,  87,  83,  107,  66,  79,  104,  118,  222,  232
